	X.home.guest.GoMRI.LBN1S1	X.home.guest.GoMRI.LBN10S10	X.home.guest.GoMRI.LBN2S2	X.home.guest.GoMRI.LBN3S3	X.home.guest.GoMRI.LBN4S4	X.home.guest.GoMRI.LBN5S5	X.home.guest.GoMRI.LBN6S6	X.home.guest.GoMRI.LBN7S7	X.home.guest.GoMRI.LBN8S8	X.home.guest.GoMRI.LBN9S9	X.home.guest.GoMRI.LBO1S11	X.home.guest.GoMRI.LBO10S20	X.home.guest.GoMRI.LBO2S12	X.home.guest.GoMRI.LBO3S13	X.home.guest.GoMRI.LBO4S14	X.home.guest.GoMRI.LBO5S15	X.home.guest.GoMRI.LBO6S16	X.home.guest.GoMRI.LBO7S17	X.home.guest.GoMRI.LBO8S18	X.home.guest.GoMRI.LBO9S19	X.home.guest.GoMRI.LFN1S61	X.home.guest.GoMRI.LFN10S70	X.home.guest.GoMRI.LFN2S62	X.home.guest.GoMRI.LFN3S63	X.home.guest.GoMRI.LFN4S64	X.home.guest.GoMRI.LFN5S65	X.home.guest.GoMRI.LFN6S66	X.home.guest.GoMRI.LFN7S67	X.home.guest.GoMRI.LFN8S68	X.home.guest.GoMRI.LFN9S69	X.home.guest.GoMRI.LFO1S71	X.home.guest.GoMRI.LFO10S80	X.home.guest.GoMRI.LFO2S72	X.home.guest.GoMRI.LFO3S73	X.home.guest.GoMRI.LFO4S74	X.home.guest.GoMRI.LFO5S75	X.home.guest.GoMRI.LFO6S76	X.home.guest.GoMRI.LFO7S77	X.home.guest.GoMRI.LFO8S78	X.home.guest.GoMRI.LFO9S79	X.home.guest.GoMRI.RBN1S21	X.home.guest.GoMRI.RBN10S30	X.home.guest.GoMRI.RBN3S23	X.home.guest.GoMRI.RBN4S24	X.home.guest.GoMRI.RBN5S25	X.home.guest.GoMRI.RBN6S26	X.home.guest.GoMRI.RBN7S27	X.home.guest.GoMRI.RBN8S28	X.home.guest.GoMRI.RBN9S29	X.home.guest.GoMRI.RBO1S31	X.home.guest.GoMRI.RBO10S40	X.home.guest.GoMRI.RBO2S32	X.home.guest.GoMRI.RBO3S33	X.home.guest.GoMRI.RBO4S34	X.home.guest.GoMRI.RBO5S35	X.home.guest.GoMRI.RBO6S36	X.home.guest.GoMRI.RBO7S37	X.home.guest.GoMRI.RBO8S38	X.home.guest.GoMRI.RBO9S39	X.home.guest.GoMRI.RFN1S7	X.home.guest.GoMRI.RFN1S81	X.home.guest.GoMRI.RFN10S90	X.home.guest.GoMRI.RFN2S82	X.home.guest.GoMRI.RFN3S83	X.home.guest.GoMRI.RFN3S9	X.home.guest.GoMRI.RFN4S10	X.home.guest.GoMRI.RFN4S84	X.home.guest.GoMRI.RFN5S11	X.home.guest.GoMRI.RFN5S85	X.home.guest.GoMRI.RFN6S12	X.home.guest.GoMRI.RFN6S86	X.home.guest.GoMRI.RFN7S87	X.home.guest.GoMRI.RFN8S88	X.home.guest.GoMRI.RFN9S89	X.home.guest.GoMRI.RFO1S1	X.home.guest.GoMRI.RFO1S91	X.home.guest.GoMRI.RFO10S4	X.home.guest.GoMRI.RFO2S2	X.home.guest.GoMRI.RFO2S92	X.home.guest.GoMRI.RFO3S3	X.home.guest.GoMRI.RFO3S93	X.home.guest.GoMRI.RFO4S4	X.home.guest.GoMRI.RFO4S94	X.home.guest.GoMRI.RFO5S5	X.home.guest.GoMRI.RFO5S95	X.home.guest.GoMRI.RFO6S6	X.home.guest.GoMRI.RFO6S96	X.home.guest.GoMRI.RFO7S1	X.home.guest.GoMRI.RFO8S2	X.home.guest.GoMRI.RFO9S3	X.home.guest.GoMRI.SBN1S41	X.home.guest.GoMRI.SBN10S50	X.home.guest.GoMRI.SBN2S42	X.home.guest.GoMRI.SBN3S43	X.home.guest.GoMRI.SBN4S44	X.home.guest.GoMRI.SBN5S45	X.home.guest.GoMRI.SBN6S46	X.home.guest.GoMRI.SBN7S47	X.home.guest.GoMRI.SBN8S48	X.home.guest.GoMRI.SBN9S49	X.home.guest.GoMRI.SBO1S51	X.home.guest.GoMRI.SBO10S60	X.home.guest.GoMRI.SBO2S52	X.home.guest.GoMRI.SBO3S53	X.home.guest.GoMRI.SBO4S54	X.home.guest.GoMRI.SBO5S55	X.home.guest.GoMRI.SBO6S56	X.home.guest.GoMRI.SBO7S57	X.home.guest.GoMRI.SBO8S58	X.home.guest.GoMRI.SBO9S59	X.home.guest.GoMRI.SFN1S5	X.home.guest.GoMRI.SFN10S14	X.home.guest.GoMRI.SFN2S6	X.home.guest.GoMRI.SFN3S7	X.home.guest.GoMRI.SFN4S8	X.home.guest.GoMRI.SFN5S9	X.home.guest.GoMRI.SFN6S10	X.home.guest.GoMRI.SFN7S11	X.home.guest.GoMRI.SFN8S12	X.home.guest.GoMRI.SFN9S13	X.home.guest.GoMRI.SFO1S15	X.home.guest.GoMRI.SFO10S24	X.home.guest.GoMRI.SFO2S16	X.home.guest.GoMRI.SFO3S17	X.home.guest.GoMRI.SFO4S18	X.home.guest.GoMRI.SFO5S19	X.home.guest.GoMRI.SFO6S20	X.home.guest.GoMRI.SFO7S21	X.home.guest.GoMRI.SFO8S22	X.home.guest.GoMRI.SFO9S23
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000622149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000484225	0.003029664	1.83E-04	0.000997037	0.000612272	4.15E-04	4.30E-03	1.05E-02	1.58E-03	1.48E-03	0.005487058	3.79E-03	5.64E-03	0.014052247	0.004007719	2.20E-03	0.008852546	0.001571138	0.003277006	0.004455518	6.99E-03	0.009647099	8.56E-03	4.31E-03	4.68E-03	1.57E-02	6.30E-03	0.015462836	2.95E-03	0.013532086	5.95E-03	3.70E-03	1.24E-02	1.08E-02	4.44E-03	4.36E-03	0.006429121	3.59E-03	3.47E-03	0.009881692	8.57E-03	0.001649825	0.003223826	0.004067071	4.21E-03	1.24E-02	1.15E-02	7.71E-03	4.61E-03	6.30E-03	0.001578389	0.002421024	1.41E-03	2.38E-03	0	0	0.002523956	2.96E-03	0	1.87E-03	2.85E-03	1.58E-02	0	2.03E-03	2.78E-03	1.31E-03	9.89E-04	1.40E-03	9.59E-04	8.30E-03	2.44E-03	5.84E-03	5.24E-03	4.24E-03	5.21E-03	3.54E-03	3.46E-03	9.09E-03	7.33E-03	5.87E-03	4.16E-03	7.22E-03	1.37E-03	0.002422082	5.23E-03	3.65E-03	6.63E-03	5.03E-03	1.08E-02	1.04E-02
Bacteria|Planctomycetes|NA|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000254855	0.000195948	7.31E-05	0.000387736	0	0.00E+00	0.00E+00	1.08E-04	1.07E-04	5.20E-04	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.004709292	0.002577219	2.85E-03	2.11E-03	0	0.000521367	0.000598905	1.22E-03	0.010876257	2.10E-03	6.62E-04	3.30E-03	0.027368304	8.04E-04	8.43E-04	3.18E-04	5.90E-04	1.18E-03	2.17E-03	2.28E-03	3.29E-03	3.19E-03	1.95E-03	1.31E-03	2.25E-03	1.58E-03	2.20E-03	1.45E-03	1.48E-03	1.45E-03	1.16E-03	1.75E-03	1.83E-04	0.000506868	1.88E-03	1.34E-03	1.04E-03	1.59E-03	1.41E-03	1.19E-03
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae|AT-s3-44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000371633	0.00E+00	0.00E+00	0	0	1.63E-03	0.000177762	0	0	0	0.00E+00	0.000123825	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	1.29E-04	9.23E-05	0.00E+00	0.00E+00	0	0.00E+00	1.57E-04	0	1.40E-04	0	0	0	1.09E-04	9.90E-05	7.43E-05	0.00E+00	0.00E+00	0.00E+00	0.000983259	0.001679097	8.62E-04	1.91E-03	0	0.00019776	0	4.53E-04	0.001436487	4.94E-04	2.66E-04	0.00E+00	0.002614452	0.00E+00	4.97E-04	3.97E-04	8.33E-04	4.88E-04	7.24E-04	6.52E-04	1.12E-03	2.17E-03	3.08E-03	1.05E-03	1.37E-03	8.58E-04	1.73E-03	1.80E-03	9.50E-04	1.60E-03	1.39E-03	4.52E-04	4.55E-04	0.00098312	2.07E-03	1.12E-03	1.15E-03	1.09E-03	2.15E-03	1.16E-03
Bacteria|Bacteroidetes|Bacteroidia|Cytophagales|Microscillaceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001401702	0.000572772	5.02E-04	0.004985183	0.000638893	5.25E-04	0.00E+00	1.26E-03	0.00E+00	1.43E-04	0.006973592	1.51E-02	9.45E-03	0.00711898	0	0.00E+00	0.000248867	0.006051789	0.00434302	0.000586252	2.61E-04	0.000337705	3.66E-05	2.21E-04	2.27E-04	0.00E+00	0.00E+00	0	3.79E-04	0.001162914	0.00E+00	1.50E-04	0.00E+00	0.00E+00	3.09E-04	3.05E-04	0.002399602	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	1.36E-04	9.75E-05	3.35E-04	4.34E-04	0.00E+00	0	0	0.00E+00	1.06E-04	0	0	0.001540041	4.01E-04	0	1.02E-04	1.55E-03	4.00E-04	0	2.75E-04	1.49E-04	5.26E-04	0.00E+00	0.00E+00	3.26E-04	2.85E-04	0.00E+00	0.00E+00	4.29E-05	0.00E+00	2.01E-05	0.00E+00	0.00E+00	4.67E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.46342E-05	9.13E-05	3.86E-05	3.55E-04	0.00E+00	8.12E-05	2.19E-04
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Ika33|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	9.70E-05	0.00E+00	8.73E-05	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.22E-05	0.00E+00	0	8.22E-05	5.24E-05	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	2.32E-05	0.00E+00	0.00E+00	0.00E+00	0	0	8.29E-05	1.91E-04	0	0.000215738	0.000556126	3.60E-04	0.000410425	1.03E-03	1.08E-03	1.53E-03	0	5.86E-03	2.26E-04	0.00E+00	2.08E-04	4.72E-05	2.89E-04	8.99E-05	5.17E-03	1.82E-03	2.63E-03	4.69E-03	3.87E-03	8.56E-03	4.33E-03	3.46E-03	4.00E-03	5.08E-03	5.45E-03	7.03E-03	2.09E-03	0.001819963	4.39E-03	4.53E-03	6.81E-03	5.08E-03	6.69E-03	9.46E-03
Bacteria|Bacteroidetes|Chlorobia|Chlorobiales|Chlorobiaceae|Prosthecochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	2.93E-04	6.64E-04	0.000340473	0	0.00E+00	0	0	0	0.000850066	5.24E-03	0	2.29E-04	3.13E-04	1.41E-03	2.40E-04	5.81E-03	0	1.22E-03	0	2.10E-04	7.86E-04	3.73E-04	0.00E+00	4.36E-04	6.16E-04	0.000656495	0.00E+00	0.00E+00	0.000218079	0.00E+00	0	0	0	0.00E+00	0.00E+00	1.07E-04	4.54E-04	0.00E+00	0.00E+00	0.00163014	0.000273341	1.67E-03	1.02E-03	0	0.000683171	0.000663073	1.02E-03	0	1.02E-03	1.20E-03	4.26E-03	0	1.34E-03	1.77E-03	1.39E-03	5.73E-04	9.13E-04	1.01E-03	1.98E-03	3.94E-03	5.67E-03	9.11E-03	7.69E-03	6.53E-03	5.60E-03	8.43E-03	8.64E-03	8.55E-03	6.66E-03	5.90E-03	4.23E-03	1.21E-03	0.00275886	7.25E-03	5.10E-03	4.85E-03	5.76E-03	7.65E-03	8.39E-03
Bacteria|Verrucomicrobia|Verrucomicrobiae|Pedosphaerales|Pedosphaeraceae|ADurb.Bin063-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	5.77E-04	0.00E+00	0.001423796	0.00732893	0.00E+00	0.000462181	0.003316846	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0.00E+00	1.27E-03	0	0	0.000534737	2.23E-04	0	7.75E-04	8.65E-04	0.00E+00	0.000556266	0.00E+00	6.01E-04	5.16E-04	9.02E-04	3.99E-04	5.79E-04	1.02E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.25E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Martelella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000226094	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	9.12E-04	0	0.000389639	0.00E+00	0.000284419	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	4.18E-05	0.00E+00	0.00E+00	4.59E-04	0	0.000820024	0.00E+00	0.00E+00	0	0	0.000598905	2.55E-04	0	1.53E-04	2.67E-04	1.61E-02	0.001223786	6.90E-03	3.25E-03	1.55E-03	4.34E-04	5.09E-04	2.33E-03	1.03E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.59E-04	5.38E-05	0.001170219	6.04E-04	6.22E-03	1.64E-03	2.43E-03	2.29E-04	4.93E-03
Bacteria|Firmicutes|Clostridia|Clostridiales|Family_XIII|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000203884	0.000195948	1.10E-03	0.000443127	0	4.53E-03	4.12E-04	3.02E-03	9.16E-04	2.81E-03	0.001071179	1.17E-03	7.32E-04	0.004364244	0.002040968	6.33E-04	0.000586615	0.001221996	0.003040114	0.000351751	3.09E-05	0.000945573	1.28E-04	2.05E-04	2.97E-04	6.55E-05	1.55E-04	0.000116613	1.44E-04	0.000528597	1.03E-03	1.74E-04	2.51E-04	2.92E-04	1.26E-04	1.02E-04	0.000158464	1.78E-03	1.97E-03	0.000204449	6.20E-04	0	0.00049125	0.001890831	3.55E-03	3.96E-04	3.90E-04	1.05E-04	3.26E-04	1.01E-03	0	0	0.00E+00	0.00E+00	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Patescibacteria|NA|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001350731	0	3.01E-04	0	0	0.00E+00	2.29E-05	0.00E+00	0.00E+00	1.04E-04	0.002601434	2.49E-03	5.84E-03	0.006314226	0.006289892	3.02E-03	0.000711048	0.000465522	0.000157928	0.003165763	2.84E-03	0.001103169	5.49E-03	2.88E-03	5.11E-03	3.80E-03	2.39E-03	0.002961961	1.71E-03	0	2.27E-03	4.46E-03	4.69E-03	3.58E-03	6.75E-03	6.11E-03	0.005025581	1.64E-03	2.06E-03	0.004920401	5.95E-03	0.002612223	0.000921093	0.003210846	3.11E-03	2.94E-03	2.67E-03	5.27E-03	4.02E-04	1.92E-03	0.000621006	0.000468585	8.29E-04	3.77E-03	0	0.001060712	0.000876968	2.77E-03	0.003078186	1.51E-03	3.81E-03	8.99E-04	0.001279413	1.50E-03	4.21E-03	3.94E-03	5.38E-03	5.37E-03	4.92E-03	3.82E-03	6.54E-04	1.88E-04	4.59E-04	1.35E-03	7.62E-04	1.56E-04	3.03E-04	2.00E-03	1.46E-03	1.17E-03	7.57E-04	1.09E-03	3.73E-04	0.002357448	1.07E-03	4.48E-04	1.18E-03	4.42E-04	8.05E-04	8.24E-04
Bacteria|Tenericutes|Mollicutes|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000783794	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	1.18E-04	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.000546683	2.82E-04	3.05E-04	0	0	0	5.24E-05	0	1.53E-04	2.90E-05	8.32E-04	0.002336319	1.38E-04	1.25E-04	0.00E+00	0.00E+00	1.47E-04	0.00E+00	5.92E-04	1.95E-03	2.46E-03	1.55E-03	1.01E-03	1.68E-03	1.76E-03	2.02E-03	2.10E-03	1.08E-03	1.35E-03	2.27E-03	1.21E-03	1.47E-04	0.000544288	1.69E-03	1.43E-03	1.22E-03	1.97E-03	1.78E-03	1.12E-03
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae|Lysinimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.000319446	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000786989	1.12E-03	1.10E-03	0.004704717	0.006308446	2.48E-03	0.007981513	0.063776549	0.003671826	0.000351751	1.02E-03	0.00570721	3.66E-04	5.87E-04	7.15E-04	1.99E-03	8.27E-03	0.009702171	2.88E-04	0.00919759	6.68E-04	5.93E-04	2.12E-03	7.67E-03	3.51E-03	3.18E-03	0.00020374	0.00E+00	0.00E+00	0.001349362	7.48E-04	0.003780848	0.004758981	0	0.00E+00	0.00E+00	5.11E-05	1.01E-03	0.00E+00	1.06E-04	0	0	1.16E-04	1.40E-04	0	0	0	0.00E+00	0	0.00E+00	3.03E-04	0.00E+00	0	0.00E+00	6.65E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.00E-05	0.00E+00	5.97E-05	1.29E-05	0.00E+00	1.79E-05	0.00E+00	0.00E+00	3.09E-04	0.00E+00	0.00E+00	2.63E-05	2.41E-05	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodovibrionales|Kiloniellaceae|Pelagibius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129976	0	1.84E-03	0.014678594	0.001623852	2.21E-03	3.21E-04	2.89E-04	0.00E+00	2.47E-04	0.002688877	4.81E-03	7.40E-03	0.005107094	0.00148434	1.70E-03	0.001990934	0	0.00157928	0.006360838	5.34E-03	0.002814206	7.93E-03	5.10E-03	5.30E-03	9.41E-03	1.04E-02	0.011008233	4.69E-03	0.006026007	1.95E-03	4.16E-03	8.57E-03	1.07E-02	4.99E-03	4.60E-03	0.003440938	2.06E-03	1.27E-03	0.003761858	4.68E-03	0	0.000736874	0.020156975	1.55E-02	4.75E-03	2.93E-03	4.78E-03	2.11E-03	1.01E-03	0.002716899	0.00222578	4.79E-03	3.53E-03	0	0.001294429	0.003144251	2.77E-03	0	4.34E-03	4.98E-03	1.93E-03	0.00016688	9.19E-03	1.36E-03	2.88E-04	5.90E-04	3.30E-04	0.00E+00	1.70E-03	3.53E-03	2.21E-03	4.53E-03	3.61E-03	3.62E-03	2.88E-03	3.20E-03	2.65E-03	1.66E-03	2.57E-03	3.33E-03	2.59E-03	2.32E-03	0.002466305	3.09E-03	2.93E-03	3.02E-03	3.57E-03	1.91E-03	1.90E-03
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfocapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.000185543	3.45E-04	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.008823453	0.011831778	8.68E-03	8.12E-03	0	0.010912752	0.017838809	8.80E-03	0.014980505	7.82E-03	4.67E-03	0.00E+00	0.003115092	4.51E-03	3.71E-03	5.04E-03	4.32E-03	2.94E-03	6.13E-03	4.83E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.51E-04	0.000360591	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Moritellaceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00109304	1.98E-04	2.14E-04	0.000185713	0.000500965	2.38E-04	0	0.001047425	0.000631712	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	1.36E-04	0.00E+00	0.00E+00	3.95E-05	0	0.00E+00	6.55E-05	6.81496E-05	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00677931	0.00636495	5.65E-03	4.61E-03	0	0.002732683	0.003379535	3.90E-03	0.018263903	4.32E-03	2.40E-03	1.20E-03	0.007120209	3.65E-03	1.52E-03	1.21E-03	2.60E-03	1.41E-03	1.59E-03	2.11E-03	3.21E-03	6.69E-03	4.61E-03	3.03E-03	4.05E-03	3.13E-03	5.19E-03	4.09E-03	3.20E-03	4.53E-03	3.17E-03	2.83E-03	1.04E-03	0.001830169	3.60E-03	2.15E-03	2.29E-03	2.60E-03	3.84E-03	2.64E-03
Bacteria|Patescibacteria|Gracilibacteria|Candidatus_Peregrinibacteria|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.21E-04	0.000349773	6.24E-04	4.84E-04	0.002104742	0	0.00E+00	0.000444405	0	0	0.000703503	1.35E-03	0.000720437	4.67E-04	9.27E-04	5.58E-04	1.57E-03	5.65E-03	0.000349838	4.70E-04	0.00190295	3.63E-03	5.98E-04	1.53E-03	1.92E-04	8.15E-03	5.37E-03	0.000769684	0.00E+00	1.31E-04	0.00849144	4.81E-03	0	0.000260976	0	1.64E-04	1.48E-03	1.07E-03	5.50E-03	1.63E-04	9.80E-04	0	0	0.00E+00	0.00E+00	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.29E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.46E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	1.03E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Erythrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000620444	0	0	0	0.0064531	0	0	0	0	0	0.000165803	1.74E-04	0.001246296	0.000984959	0.00E+00	1.49E-04	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.000185713	0	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.003622532	0.00128861	5.54E-03	4.05E-03	0	0.005645147	0.002802019	3.76E-03	0.002257336	9.03E-04	4.95E-03	0.00E+00	0.001835679	2.04E-03	3.47E-03	6.99E-03	1.00E-02	8.54E-03	1.45E-03	2.37E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.63E-05	0.00E+00	1.11E-04	0.000425225	3.15E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
